,Title,Category,Price,City,Availability
0,Креветки Королевские 26/30 очищенные,Морепродукты,5 290 Т,Актау,В наличии
1,Креветка Королевская 31/40 очищенная,Морепродукты,5 900 Т,Актау,В наличии
2,"Лангустины в панцире с головой, размер 21-30",Морепродукты,6 500 Т,Актау,В наличии
3,Морской Коктейль Стандарт 1 кг,Морепродукты,3 000 Т,Актау,В наличии
4,"Креветка Королевская  21/25, в панцире без головы",Морепродукты,5 500 Т,Актау,В наличии
5,Трубка Кальмара,Морепродукты,3 700 Т,Актау,В наличии
6,Чука салат замороженный,Морепродукты,2 800 Т,Актау,В наличии
7,Мидии в раковине 40-60 закрытые,Морепродукты,4 800 Т,Актау,В наличии
8,Гребешок Risma 10/20 глазурь 7%,Морепродукты,13 500 Т,Актау,В наличии
9,Вонголе Свежемороженные уп. 500 гр,Морепродукты,3 500 Т,Актау,В наличии
10,"Мидии на раковине Киви 40/60,  Новая Зеландия",Морепродукты,5 400 Т,Актау,В наличии
11,"Креветка Арктическая, 70/90,  Гренландия",Морепродукты,6 700 Т,Актау,В наличии
12,"Осьминог Бэби, размер 40/60",Морепродукты,5 500 Т,Актау,В наличии
13,Креветка Ваннамей 16/20 в панцире б/г,Морепродукты,5 700 Т,Актау,В наличии
14,"Лангустины в Панцире с головой, размер 10-20",Морепродукты,7 200 Т,Актау,В наличии
15,"Креветка  Салатная 100/200, глазурь 40%",Морепродукты,3 900 Т,Актау,В наличии
16,Щупальца Кальмара свежемороженные,Морепродукты,2 500 Т,Актау,В наличии
17,"Креветка Северная, 90/120,  Гренландия",Морепродукты,3 990 Т,Актау,В наличии
18,Мясо Мидий очищенное,Морепродукты,3 000 Т,Актау,В наличии
19,"Лангустины в панцире без головы, размер 30 - 50, уп. 2 кг",Морепродукты,6 500 Т,Актау,В наличии
20,"Гребешок 10/20, глазурь 25%",Морепродукты,6 800 Т,Актау,В наличии
21,Устрицы Gillardeau №2,Морепродукты,1 790 Т,Актау,В наличии
22,"Кольца Кальмара, уп. 1 кг",Морепродукты,4 800 Т,Актау,В наличии
23,Устрицы Ostra Regal  #2,Морепродукты,2 100 Т,Актау,В наличии
24,Устрицы Fin De Claire №2 Marine,Морепродукты,1 400 Т,Актау,Временно нет в наличии
25,Конечности Камчатского Краба 4L,Морепродукты,24 000 Т,Актау,В наличии
26,Креветка Тигровая 8/12  с головой,Морепродукты,14 500 Т,Актау,В наличии
27,Устрицы Tarbouriech,Морепродукты,2 400 Т,Актау,В наличии
28,Кальмар Патагонский,Морепродукты,5 500 Т,Актау,В наличии
29,Гребешок Морской на раковине с икрой 12/16,Морепродукты,7 600 Т,Актау,В наличии
30,Улитка Бургундская в металлическом поддоне,Морепродукты,2 990 Т,Актау,В наличии
31,"Хвост Омара, замороженный",Морепродукты,40 000 Т,Актау,В наличии
32,"Осьминог Индонезия 0,5 - 1 кг",Морепродукты,9 500 Т,Актау,В наличии
33,"Мясо краба, 1я фаланга, блок весом 1 -1,5 кг",Морепродукты,35 000 Т,Актау,В наличии
34,Лобстер (Омар) размер 1000+ гр.,Морепродукты,45 000 Т,Актау,В наличии
35,Клешни Лобстера (Омара) замороженные,Морепродукты,13 500 Т,Актау,В наличии
36,Устрицы Fine de Claire Selection Marine #3,Морепродукты,1 100 Т,Актау,В наличии
37,Устрицы La Belle №2,Морепродукты,1 490 Т,Актау,В наличии
38,"Каракатица, размер 40-60",Морепродукты,4 800 Т,Актау,В наличии
39,Кальмар Командорский очищенный,Морепродукты,3 600 Т,Актау,В наличии
40,Кальмар Тушка Неочищенный,Морепродукты,2 500 Т,Актау,В наличии
41,Кальмар Командорский 600 гр,Морепродукты,1 990 Т,Актау,В наличии
42,Гребешок на Створке,Морепродукты,4 500 Т,Актау,В наличии
43,"Креветка Королевская Блочная, в панцире 21/25",Морепродукты,15 000 Т,Актау,В наличии
44,Улитки по Бургундски (Escargot),Морепродукты,10 500 Т,Актау,В наличии
45,Мясо Краба Салатное (кусочками),Морепродукты,17 500 Т,Актау,В наличии
46,Креветка Risma Премиум глазурь 7%,Морепродукты,6 000 Т,Актау,В наличии
47,Устрицы №2 Царская,Морепродукты,1 600 Т,Актау,В наличии
48,Краб Приморский в собственном соку,Морепродукты,17 500 Т,Актау,В наличии
49,"Керамическая Сковорода ""Улиточница Эскарготьерка""",Морепродукты,4 500 Т,Актау,В наличии
50,Трубка Кальмара Risma,Морепродукты,4 800 Т,Актау,В наличии
51,Краб Натуральный в собственном соку,Морепродукты,48 000 Т,Актау,В наличии
52,"Семга Атлантическая (Лосось) Охлажденная, 3-4 кг",Рыба,5 990 Т,Актау,В наличии
53,Лосось Малосольный филе на шкуре,Рыба,9 500 Т,Актау,В наличии
54,Дорадо Охлажденная вес 300 - 400 гр/шт Греция,Рыба,4 990 Т,Актау,В наличии
55,Стейк из Семги нарезка Подкова,Рыба,6 990 Т,Актау,В наличии
56,"Форель Атлантическая охлажденная 3-4 кг, Норвегия",Рыба,7 700 Т,Актау,В наличии
57,Сибас Охлажденный весом 300 - 400 гр/шт,Рыба,4 990 Т,Актау,В наличии
58,Дорадо Охлажденная 400 - 600 гр./шт,Рыба,4 990 Т,Актау,В наличии
59,Сибас Охлажденный 400 - 600 гр/шт,Рыба,4 990 Т,Актау,В наличии
60,Лосось копченый по Шотландски Филе,Рыба,10 800 Т,Актау,В наличии
61,Филе Судака уп. 1 кг,Рыба,3 500 Т,Актау,В наличии
62,"Семга Атлантическая охлажденная, 5-6 кг, Норвегия",Рыба,7 700 Т,Актау,В наличии
63,Филе из Охлажденной Семги (Лосося),Рыба,14 500 Т,Актау,В наличии
64,Морской Окунь размер 500-600 гр,Рыба,3 000 Т,Актау,В наличии
65,Слайсы из Малосольного Лосося,Рыба,15 990 Т,Актау,В наличии
66,Палтус вес 2-3 кг,Рыба,5 500 Т,Актау,В наличии
67,Скумбрия (макрель атлантическая) 400-600,Рыба,2 200 Т,Актау,В наличии
68,Тунец  Yellowfin филе уп. 350-550 гр.,Рыба,10 100 Т,Актау,В наличии
69,Филе на шкуре из Атлантической Семги,Рыба,8 900 Т,Актау,В наличии
70,"Филе из Охлажденной Океанической Форели  1,5 - 2 кг",Рыба,14 500 Т,Актау,В наличии
71,Эсколар копченый филе на шкуре,Рыба,7 800 Т,Актау,В наличии
72,"Сибас Охлажденный 600 - 800 гр., Греция",Рыба,7 200 Т,Актау,В наличии
73,Форель Атлантическая Норвежская охлажденная 5 - 6 кг,Рыба,7 700 Т,Актау,В наличии
74,Стейк Подкова из Норв. лосося размороженный  вес 300 - 400 гр,Рыба,7 800 Т,Актау,В наличии
75,Филе Трески заморозка,Рыба,4 500 Т,Актау,В наличии
76,"Дорадо Охлажденная вес 600-800 гр., Турция",Рыба,7 200 Т,Актау,В наличии
77,Сибас охлажденный весом от 1000 до 1500 гр Турция,Рыба,8 900 Т,Актау,В наличии
78,Слайсы Копченый Лосось (Семга)  Шотландского Копчения,Рыба,10 800 Т,Актау,В наличии
79,"Печень трески натуральная, Исландия",Рыба,1 850 Т,Актау,В наличии
80,Тунец Копченый Куском (спинка),Рыба,8 490 Т,Актау,В наличии
81,Форель Копченая из Охлажденки Филе,Рыба,10 800 Т,Актау,В наличии
82,Форель Радужная Замороженая,Рыба,3 200 Т,Актау,В наличии
83,Филе Лосося копченое цельное вакуум,Рыба,11 500 Т,Актау,В наличии
84,Треска Атлантическая  размер 3 кг+,Рыба,3 500 Т,Актау,В наличии
85,"Гравлакс (Gravad Lax) из охлажденки, вес 800 - 1000 гр.",Рыба,16 500 Т,Актау,В наличии
86,"Дорадо замороженная, весом 300-400 гр./шт",Рыба,4 200 Т,Актау,В наличии
87,"Филе Тунца грейд А, без костей и шкуры",Рыба,15 500 Т,Актау,В наличии
88,Сибас замороженный 300-400 гр.,Рыба,4 200 Т,Актау,В наличии
89,"Филе минтая замороженное, уп. 600 гр",Рыба,1 490 Т,Актау,В наличии
90,"Угорь Копченый Унаги, филе для суши",Рыба,10 000 Т,Актау,В наличии
91,Снеппер Красный (Red Snapper),Рыба,9 490 Т,Актау,В наличии
92,Мойва атлантическая,Рыба,3 100 Т,Актау,В наличии
93,Стейк Бабочка из Атлантической семги вес 150 гр.,Рыба,8 900 Т,Актау,В наличии
94,Семга (Лосось) Замороженная размер 6-7 кг,Рыба,4 490 Т,Актау,В наличии
95,Барабулька Red Mullet (Султанка),Рыба,9 490 Т,Актау,В наличии
96,Стейк Подкова из Форели,Рыба,7 490 Т,Актау,В наличии
97,"Черная Треска, вылов Канада",Рыба,22 000 Т,Актау,В наличии
98,Слайсы из копченого Эсколара,Рыба,14 800 Т,Актау,В наличии
99,"Стейки из Осетра, уп. 800 грамм",Рыба,9 800 Т,Актау,В наличии
100,Филе Сельди малосольное KingFisher,Рыба,5 000 Т,Актау,В наличии
101,Хек Тушка Свежемороженная,Рыба,1 800 Т,Актау,В наличии
102,Дорадо Охлажденная вес 1+ kg,Рыба,8 900 Т,Актау,В наличии
103,"Филе Окуня морского, 220 гр",Рыба,3 000 Т,Актау,В наличии
104,Сибас Замороженный 1+ крупный,Рыба,7 500 Т,Актау,Временно нет в наличии
105,Филе Осетра Холодного копчения,Рыба,18 500 Т,Актау,В наличии
106,Тунец Филе консервированное в масле,Рыба,1 100 Т,Актау,В наличии
107,"Барамунди / Barramundi  вес 0,5 - 2 кг/шт",Рыба,9 490 Т,Актау,В наличии
108,"Группер Каменный /Spotted Grouper 0,5 - 2 кг/шт",Рыба,9 490 Т,Актау,В наличии
109,Тунец Копченый нарезка Слайсами,Рыба,12 500 Т,Актау,В наличии
110,"Рыба Попугай/ Parrot Fish 0,5 - 2 кг",Рыба,9 490 Т,Актау,В наличии
111,Анчоусы Agostino Recca в масле,Рыба,3 500 Т,Актау,В наличии
112,Чилийский Сибас стейк-подкова,Рыба,30 000 Т,Актау,В наличии
113,Стейк-филе Swordfish (Рыба Меч),Рыба,6 800 Т,Актау,В наличии
114,Черная Треска стейк-подкова,Рыба,31 000 Т,Актау,В наличии
115,Филе Рыбы Меч (Swordfish) охлажденное,Рыба,15 990 Т,Актау,В наличии
116,"Император / Emperor Fish 0,5 - 2 кг/шт",Рыба,9 490 Т,Актау,В наличии
117,Барракуда охлажденная 1-3 кг,Рыба,9 490 Т,Актау,В наличии
118,Сардины в масле Agostino Recca,Рыба,10 500 Т,Актау,В наличии
119,Тунец YellowFin Охлажденный,Рыба,15 500 Т,Актау,В наличии
120,Стейк Акулы,Рыба,14 800 Т,Актау,Временно нет в наличии
121,"Анчоусы Agostino Recca, 540 гр",Рыба,15 800 Т,Актау,В наличии
122,"Икра Красная Keta, уп. 200 гр.",Икра,7 200 Т,Актау,В наличии
123,Икра Горбуши 2021,Икра,15 990 Т,Актау,В наличии
124,"Икра красная ""Золото Сахалина""   360 грамм",Икра,16 500 Т,Актау,В наличии
125,"Икра красная ""Золото Сахалина"" 220 грамм",Икра,10 800 Т,Актау,В наличии
126,Икра Морского Ежа,Икра,10 500 Т,Актау,В наличии
127,Икра Черная Стерлядь,Икра,16 500 Т,Актау,В наличии
128,Икра Черная Осетровых,Икра,35 000 Т,Актау,В наличии
129,Икра Горбуши 2021 (200 гр),Икра,7 000 Т,Актау,В наличии
130,Черная Икра Caspian Caviar,Икра,66 700 Т,Актау,В наличии
131,"Икра Красная Путина, 150 гр",Икра,7 200 Т,Актау,В наличии
132,"Икра красная Путина, 440 гр",Икра,20 700 Т,Актау,В наличии
133,"Икра Красная Путина, 240 гр",Икра,11 100 Т,Актау,В наличии
134,"Икра красная Путина, 90 гр",Икра,5 400 Т,Актау,В наличии
135,"Икра Красная ""Обкомовская"", уп. 360 гр.",Икра,19 200 Т,Актау,В наличии
136,"Икра красная ""Обкомовская"", уп. 500 гр",Икра,27 200 Т,Актау,В наличии
137,"Икра Красная Путина, 60 гр",Икра,3 200 Т,Актау,В наличии
138,"Икра Красная ""Обкомовская"", 95 гр.",Икра,5 500 Т,Актау,В наличии
139,"Икра Красная ""Обкомовская"" уп. 140 гр.",Икра,8 000 Т,Актау,В наличии
140,Филе утки Мулард,Мясо,4 800 Т,Актау,В наличии
141,Ножка утиная Конфи,Мясо,5 200 Т,Актау,В наличии
142,Печень утиная  Фуа-Гра  Эскалоп,Мясо,28 000 Т,Актау,В наличии
143,Паштет из утки  Rillettes de Canard Classique,Мясо,3 500 Т,Актау,В наличии
144,"Колбаски Бордо Экстра, уп. 180 гр",Мясо,2 700 Т,Актау,В наличии
145,Паштет Rillettes de Canard Foie Gras,Мясо,4 000 Т,Актау,В наличии
146,Паштет Пате-Мусс из Фуа-Гра 50%,Мясо,1 590 Т,Актау,В наличии
147,Паштет Пате из Фуа-гра 100%,Мясо,2 500 Т,Актау,В наличии
148,Фуа-гра Утиная  Золото целая,Мясо,27 000 Т,Актау,В наличии
149,Колбаски Фелино Мини,Мясо,1 690 Т,Актау,В наличии
150,"Хамон Jamon iberico, 40 гр",Мясо,10 100 Т,Актау,В наличии
151,"Хамон Jamon Iberico, уп. 70 гр",Мясо,15 800 Т,Актау,В наличии
152,"Хамон Лопатка Jamon Belotta, 40 гр",Мясо,7 500 Т,Актау,В наличии
153,"Хамон Jamon Iberico Horeca, 40 гр",Мясо,9 500 Т,Актау,В наличии
154,Колбаски Утиные для гриля,Мясо,4 500 Т,Актау,В наличии
155,Колбаска Пармеджана сыровяленая,Мясо,3 000 Т,Актау,В наличии
156,Колбаска Пражская сыровяленая,Мясо,3 000 Т,Актау,В наличии
157,Чука салат замороженный,Бакалея,2 800 Т,Актау,В наличии
158,Лапша рисовая Real THAI,Бакалея,1 000 Т,Актау,В наличии
159,Ореховая Заправка Sen Soy,Бакалея,475 Т,Актау,В наличии
160,Вяленые помидоры в масле Le Bonta,Бакалея,2 500 Т,Актау,В наличии
161,Артишок на гриле Le Bonta,Бакалея,2 800 Т,Актау,В наличии
162,Оливки Зеленые Le Bonta,Бакалея,2 500 Т,Актау,В наличии
163,Морская Соль и Прованские травы,Бакалея,3 500 Т,Актау,В наличии
164,Кокосовое Молоко металл Aroy-D,Бакалея,950 Т,Актау,В наличии
165,Соль Розовая и 3 вида Перца горошком Carmencita,Бакалея,3 500 Т,Актау,В наличии
166,Овощи на Гриле Рустико Le Bonta,Бакалея,2 500 Т,Актау,В наличии
167,Кокосовое Масло Aroy-D Extra,Бакалея,3 500 Т,Актау,В наличии
168,Перец на Гриле Le Bonta,Бакалея,2 500 Т,Актау,В наличии
169,Кунжутное Масло REAL TANG,Бакалея,1 500 Т,Актау,В наличии
170,Песто алла Дженовезе Le Bonta,Бакалея,2 300 Т,Актау,В наличии
171,Напиток Соевое Молоко БИО Органик,Бакалея,1 400 Т,Актау,В наличии
172,Напиток Кокосовое Молоко БИО,Бакалея,1 990 Т,Актау,В наличии
173,Соус рыбный AROY-D,Бакалея,1 200 Т,Актау,В наличии
174,Miso - Soup Sen Soy,Бакалея,550 Т,Актау,В наличии
175,"Лапша Гречневая SOBA, Sen-Soy",Бакалея,950 Т,Актау,В наличии
176,Баклажаны на гриле Le Bonta,Бакалея,2 500 Т,Актау,В наличии
177,Соус Терияки SEN SOY,Бакалея,920 Т,Актау,В наличии
178,Напиток Соевое Молоко Ваниль БИО,Бакалея,1 400 Т,Актау,В наличии
179,"Перец горошком ""Mix 4 перца""",Бакалея,5 100 Т,Актау,В наличии
180,Спагетти Di Martino,Бакалея,1 600 Т,Актау,В наличии
181,Приправа для Паэльи Carmencita Marinera,Бакалея,1 400 Т,Актау,В наличии
182,Оливки Микс Le Bonta,Бакалея,2 500 Т,Актау,В наличии
183,"Приправа Средиземнорский Микс, Carmencita",Бакалея,3 500 Т,Актау,В наличии
184,Кокосовое Молоко AROY-D 1L,Бакалея,2 000 Т,Актау,В наличии
185,Фисташковая Паста Alicos,Бакалея,4 500 Т,Актау,В наличии
186,Соус Хрен-васаби Sen Soy,Бакалея,800 Т,Актау,В наличии
187,"Бальзамический Крем с Малиной, Giuseppe Giusti, 150 мл.",Бакалея,3 300 Т,Актау,В наличии
188,Цитрусовая заправка SEN SOY,Бакалея,475 Т,Актау,В наличии
189,Том Ям Паста AROY-D,Бакалея,1 600 Т,Актау,В наличии
190,Соус TABASCO Original red,Бакалея,1 800 Т,Актау,В наличии
191,Паста PENNE RIGATE Di Martino,Бакалея,1 600 Т,Актау,В наличии
192,Соус из черного трюфеля Salsa Nero Tartufi Organic,Бакалея,4 800 Т,Актау,В наличии
193,Миндальная Паста,Бакалея,4 500 Т,Актау,В наличии
194,Имбирная Заправка SEN SOY,Бакалея,475 Т,Актау,В наличии
195,"Лапша яичная EGG, Sen-Soy",Бакалея,925 Т,Актау,В наличии
196,Брускетта Микс с Баклажаном,Бакалея,2 500 Т,Актау,В наличии
197,Соус с Базиликом Le Bonta,Бакалея,1 700 Т,Актау,В наличии
198,Паста Tofette Di Martino,Бакалея,1 600 Т,Актау,В наличии
199,Брускетта Микс с помидорами и сладким перцем,Бакалея,2 500 Т,Актау,В наличии
200,Каперсы на веточке Le Bonta,Бакалея,2 300 Т,Актау,В наличии
201,"Оливки фиолетовые ""LECCINO"" Le Bonta",Бакалея,2 500 Т,Актау,В наличии
202,Грибной Микс Le Bonta,Бакалея,2 500 Т,Актау,В наличии
203,Оливковое масло с  черным трюфелем 100 мл Olive Oil with black truffle,Бакалея,4 000 Т,Актау,В наличии
204,Вермишель фунчоза Sen-Soy,Бакалея,1 100 Т,Актау,В наличии
205,Оливковое масло с белым трюфелем Olive Oil with white truffle,Бакалея,4 000 Т,Актау,В наличии
206,Артишок со стеблями All Romana,Бакалея,4 000 Т,Актау,В наличии
207,Паста Оливковые Листья,Бакалея,2 000 Т,Актау,В наличии
208,Брускетта Микс с Базиликом,Бакалея,2 500 Т,Актау,В наличии
209,"Джем из Сицилийского Апельсина, 110 гр",Бакалея,1 600 Т,Актау,В наличии
210,"Соус ""Терияки""PEARL RIVER",Бакалея,1 300 Т,Актау,В наличии
211,Паста Том Ям с растительным маслом REAL THAI,Бакалея,1 600 Т,Актау,В наличии
212,Шампиньоны на гриле Le Bonta,Бакалея,2 500 Т,Актау,В наличии
213,Приправа для Паэльи с шафраном Carmencita,Бакалея,1 400 Т,Актау,В наличии
214,Макароны ракушки Orecciette Tricolore,Бакалея,2 000 Т,Актау,В наличии
215,Ломтики черного трюфеля в рассоле Truffle slices Organic,Бакалея,10 600 Т,Актау,В наличии
216,Оливки Зеленые Le Bonta большая банка,Бакалея,9 500 Т,Актау,В наличии
217,Бальзамический Крем с Инжиром 150 мл.,Бакалея,3 300 Т,Актау,В наличии
218,Напиток Миндальное Молоко 8%,Бакалея,2 800 Т,Актау,В наличии
219,Бальзамический Крем с грибами 150 мл.,Бакалея,3 300 Т,Актау,В наличии
220,Вяленые Помидоры в Оливковом Масле Alicos,Бакалея,3 000 Т,Актау,В наличии
221,"Бальзамический Крем Бианка, Giuseppe Giusti, 150 мл.",Бакалея,3 300 Т,Актау,В наличии
222,Трюфель черный целый в рассоле Whole Black Truffle in brine,Бакалея,8 500 Т,Актау,В наличии
223,Сальса Соус из Черного трюфеля,Бакалея,4 800 Т,Актау,В наличии
224,Уксус Рисовый,Бакалея,950 Т,Актау,В наличии
225,Рисовая Вермишель Real Thai,Бакалея,1 000 Т,Актау,В наличии
226,Соус Устричный Pearl River Bridge,Бакалея,950 Т,Актау,В наличии
227,Приправа для Паэльи Valenciana,Бакалея,1 400 Т,Актау,В наличии
228,"Перец горошком ""Mix 4 перца"" 40 гр. Carmencita",Бакалея,2 000 Т,Актау,В наличии
229,Бальзамический Уксус Giuseppe Giusti 250 мл.,Бакалея,7 000 Т,Актау,В наличии
230,Каперсы в соли Le Bonta,Бакалея,1 700 Т,Актау,В наличии
231,"Джем из Сицилийского Лимона, 110 гр",Бакалея,1 600 Т,Актау,В наличии
232,"Вермишель рисовая HU-TEU, Sen-Soy",Бакалея,985 Т,Актау,В наличии
233,Острый Соус Шрирача AROY-D,Бакалея,950 Т,Актау,В наличии
234,Трюфельный Соус  Salsa Nero Tartufi Organic,Бакалея,5 800 Т,Актау,В наличии
235,Карри Паста Зеленая AROY-D,Бакалея,1 400 Т,Актау,В наличии
236,Приправа для Паэльи Шафран Микс,Бакалея,1 400 Т,Актау,В наличии
237,Рисовая Бумага REAL THAI,Бакалея,950 Т,Актау,В наличии
238,Приправа  Паэлья Carmencita,Бакалея,1 400 Т,Актау,В наличии
239,Карри Паста Красная AROY-D,Бакалея,1 400 Т,Актау,В наличии
240,"Джем из Сицилийского Мандарина, 110 гр",Бакалея,1 600 Т,Актау,В наличии
241,"Кокосовое Молоко Aroy-D, 250 мл.",Бакалея,750 Т,Актау,В наличии
242,"Перец Черри с Тунцом и Каперсами, Le Bonta",Бакалея,3 200 Т,Актау,В наличии
243,"Бальзамический Уксус Giuseppe Giusti  2 медали, 250 мл.",Бакалея,9 000 Т,Актау,В наличии
244,Том Ям паста Aroy-D 50 гр.,Бакалея,400 Т,Актау,В наличии
245,Бальзамический уксус Giuseppe Giusti Modena 100 мл.,Бакалея,4 600 Т,Актау,В наличии
246,"Бальзамический Уксус Giuseppe Giusti  2 медали, 100 мл.",Бакалея,6 500 Т,Актау,В наличии
247,Брускетта Микс с Вялеными Помидорами,Бакалея,2 500 Т,Актау,В наличии
248,"Бальзамический Крем с Ванилью, Giuseppe Giusti, 150 мл.",Бакалея,3 300 Т,Актау,В наличии
249,Фисташковый Песто,Бакалея,5 000 Т,Актау,В наличии
250,Паста из Чили перца Alicos,Бакалея,3 000 Т,Актау,В наличии
251,"Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 250 мл.",Бакалея,13 200 Т,Актау,В наличии
252,"Бальзамический Уксус Giuseppe Giusti ""Quatro Centenfrio"" IGP, 100 мл.",Бакалея,13 700 Т,Актау,В наличии
253,Трюфель Черный целый в рассоле,Бакалея,16 500 Т,Актау,В наличии
254,Джем из Красного силийского апельсина,Бакалея,3 000 Т,Актау,В наличии
255,"Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 100 мл.",Бакалея,9 100 Т,Актау,В наличии
256,Бальзамический Уксус Giuseppe Giusti 250 мл.,Бакалея,9 100 Т,Актау,В наличии
257,Лук на Гриле Borettane Le Bonta,Бакалея,2 500 Т,Актау,В наличии
258,Паштет из цукини,Бакалея,3 000 Т,Актау,В наличии
259,"Шафрановые нити экстра 0,36 гр Сarmencita",Бакалея,3 500 Т,Актау,В наличии
260,Грибы для супа Том Ям Цао Гу 400гр,Бакалея,950 Т,Актау,В наличии
261,"Бальзамический Уксус Giuseppe Giusti ""Quatro Centenfrio"" IGP, 250 мл.",Бакалея,20 100 Т,Актау,В наличии
262,Пепероната с Оливковым Маслом,Бакалея,3 000 Т,Актау,В наличии
263,Песто Сицилиано,Бакалея,3 000 Т,Актау,В наличии
264,"Перец Черри с сыром, Le Bonta, 1700 мл.",Бакалея,13 500 Т,Актау,В наличии
265,"Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 250 мл.",Бакалея,14 300 Т,Актау,В наличии
266,"Рис Арборио ""Ризо Галло"" 500 гр",Бакалея,1 450 Т,Актау,В наличии
267,Лук на гриле с Бальзамическим уксусом Le Bonta,Бакалея,2 500 Т,Актау,В наличии
268,КАПОНАТА СИЦИЛЙСКАЯ,Бакалея,2 500 Т,Актау,В наличии
269,Песто Трапеназе,Бакалея,3 000 Т,Актау,В наличии
270,"Рис длиннозерный Арборио ""Ризо Галло"" 500 гр",Бакалея,1 450 Т,Актау,В наличии
271,Напиток Молоко из Бразильского Ореха BIO,Бакалея,1 990 Т,Актау,В наличии
272,Имбирь Маринованный 200 гр,Бакалея,1 000 Т,Актау,В наличии
273,Баклажаны Обжаренные слайсами LeBonta,Бакалея,8 000 Т,Актау,В наличии
274,"Джем из Сицилийского лимона, 220 гр",Бакалея,3 000 Т,Актау,В наличии
275,"Перец Черри фаршированный Тунцом и Каперсами, 1700 мл.",Бакалея,13 500 Т,Актау,В наличии
276,"Рис зерновой Венера ""Ризо Галло"" 500 гр",Бакалея,3 100 Т,Актау,В наличии
277,Чука салат 200 гр,Бакалея,1 000 Т,Актау,В наличии
278,Оливковое Масло Barbera Non Filtrato уп. 1л,Масло,6 190 Т,Актау,В наличии
279,Оливковое Масло Barbera Oro Del Cuoco,Масло,4 290 Т,Актау,В наличии
280,Масло Оливковое Barbera Filtrato 1литр,Масло,5 990 Т,Актау,В наличии
281,Масло Оливковое BARBERA Selezione Unica 750 мл.,Масло,4 490 Т,Актау,В наличии
282,Масло Сливочное BURRO ASOLO,Масло,1 790 Т,Актау,В наличии
283,Оливковое Масло Barbera Selezione Unica 1 литр,Масло,4 990 Т,Актау,В наличии
284,"Оливковое Масло Lorenzo #5, бутылка 500 мл",Масло,7 990 Т,Актау,В наличии
285,"Оливковое Масло Lorenzo #1, бутылка 500 мл",Масло,7 990 Т,Актау,В наличии
286,"Оливковое Масло Lorenzo #3, бутылка 500 мл",Масло,7 990 Т,Актау,В наличии
287,"Масло Оливковое Barbera с цитрусами Сицилии, 250 мл",Масло,3 490 Т,Актау,В наличии
288,Оливковое Масло Barbera c ароматом белого трюфеля 250 мл,Масло,3 490 Т,Актау,В наличии
289,Кокосовое Масло Aroy-D Extra,Масло,3 500 Т,Актау,В наличии
290,Кунжутное Масло REAL TANG,Масло,1 500 Т,Актау,В наличии
291,Оливковое Масло Delicato Tipo Albero,Масло,4 990 Т,Актау,В наличии
292,Масло Оливковое с Ароматическими травами 250 мл,Масло,3 490 Т,Актау,В наличии
293,Масло оливковое Frantoia со вкусом базилика 250 мл,Масло,3 500 Т,Актау,В наличии
294,Масло Авокадо Avocado Oil,Масло,4 000 Т,Актау,В наличии
295,Подарочная Коробка из трех видов масла по 250 мл каждого вида,Масло,9 990 Т,Актау,В наличии
296,Масло Оливковое Barbera c ароматом Черного трюфеля 250 мл.,Масло,3 490 Т,Актау,В наличии
297,Масло оливковое Frantoia со вкусом мандарина,Масло,3 500 Т,Актау,В наличии
298,Масло оливковое Frantoia со вкусом апельсина 250 мл,Масло,3 500 Т,Актау,В наличии
299,Оливковое Масло Alive Barbera,Масло,4 990 Т,Актау,В наличии
300,Масло Оливковое Barbera Aglio Peperoncino с Перцем,Масло,3 490 Т,Актау,В наличии
301,Оливковое Масло Olia Barbera,Масло,4 990 Т,Актау,В наличии
302,Масло оливковое Frantoia со вкусом Шалфея 250 мл,Масло,2 790 Т,Актау,В наличии
303,Масло оливковое Frantoia со вкусом лимона 250 мл,Масло,2 790 Т,Актау,В наличии
304,Оливковое Масло Monokultivar Coratina Barbera,Масло,4 490 Т,Актау,В наличии
305,Масло Оливковое Finca la Torre Hojiblanca Orange,Масло,1 990 Т,Актау,Временно нет в наличии
306,Подарочная упаковка оливковое масло Lorenzo №5,Масло,9 000 Т,Актау,В наличии
307,Подарочный набор Cofanetto Lorenzi,Масло,24 000 Т,Актау,В наличии
308,Подарочная Упаковка масло Lorenzo №3,Масло,9 000 Т,Актау,В наличии
309,Подарочная Коробка Barbera Lorenzo #1,Масло,9 000 Т,Актау,В наличии
310,Сковорода для Паэльи  38 см,Кухня,9 000 Т,Актау,В наличии
311,Чугунная Сковорода Гриль VAELLO,Кухня,12 500 Т,Актау,В наличии
312,Чугунная Сковорода Круглая VAELLO,Кухня,13 000 Т,Актау,В наличии
313,Креветки Королевские 26/30 очищенные,Морепродукты,5 290 Т,Актобе,В наличии
314,Креветка Королевская 31/40 очищенная,Морепродукты,5 900 Т,Актобе,В наличии
315,"Лангустины в панцире с головой, размер 21-30",Морепродукты,6 500 Т,Актобе,В наличии
316,Морской Коктейль Стандарт 1 кг,Морепродукты,3 000 Т,Актобе,В наличии
317,"Креветка Королевская  21/25, в панцире без головы",Морепродукты,5 500 Т,Актобе,В наличии
318,Трубка Кальмара,Морепродукты,3 700 Т,Актобе,В наличии
